Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
CBRL,Cracker Barrel Old Country Store Inc,390,"1,240","1,630",20,82,20,62,,
KLAC,KLA-Tencor Corp,"1,045",579,"1,624",20,81,52,29,,
AVAV,Aerovironment Inc,978,643,"1,621",20,81,49,32,,
GSS,Golden Star Resources Ltd,"1,592",24,"1,616",20,81,80,1,,
CNNX,Cone Midstream Partners LP,"1,546",70,"1,616",20,81,77,4,,
ESPR,Esperion Therapeutics Inc,"1,112",493,"1,605",20,80,56,25,,
AVP,Avon Products Inc,780,824,"1,604",20,80,39,41,,
BOBE,Bob Evans Farms Inc/DE,"1,559",43,"1,602",20,80,78,2,,
TV,Grupo Televisa SAB,782,807,"1,589",20,79,39,40,,
LW,Lamb Weston Holdings Inc,"1,520",63,"1,583",20,79,76,3,,
PLD,Prologis Inc,"1,270",311,"1,581",20,79,64,16,,
ADS,Alliance Data Systems Corp,652,927,"1,579",20,79,33,46,,
MSTR,MicroStrategy Inc,241,"1,335","1,576",20,79,12,67,,
SWFT,Swift Transportation Co,"1,534",39,"1,573",20,79,77,2,,
INSY,Insys Therapeutics Inc,983,588,"1,571",20,79,49,29,,
VNO,Vornado Realty Trust,"1,075",495,"1,570",20,79,54,25,,
IAC,IAC/InterActiveCorp,674,896,"1,570",20,79,34,45,,
PBF,PBF Energy Inc,"1,125",435,"1,560",20,78,56,22,,
BRCD,Brocade Communications Systems Inc,840,711,"1,551",20,78,42,36,,
SWIR,Sierra Wireless Inc,"1,315",228,"1,543",20,77,66,11,,
SPH,Suburban Propane Partners LP,857,684,"1,541",20,77,43,34,,
XRAY,DENTSPLY SIRONA Inc,"1,374",163,"1,537",20,77,69,8,,
MD,MEDNAX Inc,147,"1,389","1,536",20,77,7,69,,
SUN,Sunoco LP,"1,051",478,"1,529",20,76,53,24,,
BIVV,Bioverativ Inc,994,535,"1,529",20,76,50,27,,
KS,KapStone Paper and Packaging Corp,"1,459",64,"1,523",20,76,73,3,,
JMEI,Jumei International Holding Ltd,"1,320",202,"1,522",20,76,66,10,,
THS,TreeHouse Foods Inc,88,"1,431","1,519",20,76,4,72,,
PAGP,Plains GP Holdings LP,"1,269",248,"1,517",20,76,63,12,,
MTDR,Matador Resources Co,"1,276",237,"1,513",20,76,64,12,,
WDR,Waddell & Reed Financial Inc,"1,115",396,"1,511",20,76,56,20,,
NLNK,NewLink Genetics Corp,"1,117",393,"1,510",20,76,56,20,,
MGA,Magna International Inc,"1,156",350,"1,506",20,75,58,18,,
AGIO,Agios Pharmaceuticals Inc,626,877,"1,503",20,75,31,44,,
GBT,Global Blood Therapeutics Inc,"1,131",371,"1,502",20,75,57,19,,
SABR,Sabre Corp,975,525,"1,500",20,75,49,26,,
COMM,CommScope Holding Co Inc,"1,051",445,"1,496",20,75,53,22,,
CVE,Cenovus Energy Inc,721,772,"1,493",20,75,36,39,,
PBI,Pitney Bowes Inc,603,888,"1,491",20,75,30,44,,
MKC,McCormick & Co Inc/MD,"1,031",453,"1,484",20,74,52,23,,
HPT,Hospitality Properties Trust,"1,137",346,"1,483",20,74,57,17,,
AYR,Aircastle Ltd,"1,468",12,"1,480",20,74,73,1,,
UN,Unilever NV,"1,226",250,"1,476",20,74,61,13,,
GLOP,GasLog Partners LP,"1,011",459,"1,470",20,74,51,23,,
NTP,Nam Tai Property Inc,975,495,"1,470",20,74,49,25,,
BHI,Baker Hughes a GE Co LLC,"1,334",123,"1,457",20,73,67,6,,
CLNE,Clean Energy Fuels Corp,"1,305",144,"1,449",20,72,65,7,,
IIVI,II-VI Inc,"1,268",181,"1,449",20,72,63,9,,
JACK,Jack in the Box Inc,835,612,"1,447",20,72,42,31,,
ELLI,Ellie Mae Inc,273,"1,172","1,445",20,72,14,59,,
A,Agilent Technologies Inc,644,799,"1,443",20,72,32,40,,
ABY,Atlantica Yield plc,"1,358",80,"1,438",20,72,68,4,,
CDK,CDK Global Inc,834,600,"1,434",20,72,42,30,,
PKG,Packaging Corp of America,939,488,"1,427",20,71,47,24,,
TEX,Terex Corp,676,748,"1,424",20,71,34,37,,
PDCO,Patterson Cos Inc,"1,207",216,"1,423",20,71,60,11,,
SSW,Seaspan Corp,894,529,"1,423",20,71,45,26,,
INSM,Insmed Inc,338,"1,083","1,421",20,71,17,54,,
SWK,Stanley Black & Decker Inc,804,610,"1,414",20,71,40,31,,
PENN,Penn National Gaming Inc,"1,226",186,"1,412",20,71,61,9,,
ZGNX,Zogenix Inc,105,"1,307","1,412",20,71,5,65,,
SEDG,SolarEdge Technologies Inc,715,696,"1,411",20,71,36,35,,
NVMI,Nova Measuring Instruments Ltd,709,701,"1,410",20,71,35,35,,
PSEC,Prospect Capital Corp,257,"1,152","1,409",20,70,13,58,,
CECO,Career Education Corp,"1,376",30,"1,406",20,70,69,2,,
CAF,Morgan Stanley China A Share Fund Inc,990,416,"1,406",20,70,50,21,,
STRP,Straight Path Communications Inc,780,621,"1,401",20,70,39,31,,
CSOD,Cornerstone OnDemand Inc,874,522,"1,396",20,70,44,26,,
ST,Sensata Technologies Holding NV,"1,136",256,"1,392",20,70,57,13,,
PLCE,Children's Place Inc/The,958,434,"1,392",20,70,48,22,,
ADNT,Adient PLC,759,631,"1,390",20,70,38,32,,
BID,Sotheby's,577,808,"1,385",20,69,29,40,,
BABY,Natus Medical Inc,396,989,"1,385",20,69,20,49,,
CVI,CVR Energy Inc,721,661,"1,382",20,69,36,33,,
TUP,Tupperware Brands Corp,570,807,"1,377",20,69,29,40,,
TCO,Taubman Centers Inc,"1,044",326,"1,370",20,69,52,16,,
TOO,Teekay Offshore Partners LP,914,454,"1,368",20,68,46,23,,
EDIT,Editas Medicine Inc,701,667,"1,368",20,68,35,33,,
AMID,American Midstream Partners LP,800,566,"1,366",20,68,40,28,,
MDR,McDermott International Inc,702,661,"1,363",20,68,35,33,,
IRM,Iron Mountain Inc,785,577,"1,362",20,68,39,29,,
GES,Guess? Inc,976,382,"1,358",20,68,49,19,,
XENT,Intersect ENT Inc,"1,192",162,"1,354",20,68,60,8,,
TREE,LendingTree Inc,643,709,"1,352",20,68,32,35,,
IPGP,IPG Photonics Corp,523,827,"1,350",20,68,26,41,,
MMC,Marsh & McLennan Cos Inc,"1,249",98,"1,347",20,67,62,5,,
