Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
NAP,Navios Maritime Midstream Partners LP,"2,008",584,"2,592",23,113,87,25,
TPX,Tempur Sealy International Inc,"1,581","1,006","2,587",23,112,69,44,
HOME,At Home Group Inc,"2,349",236,"2,585",23,112,102,10,
CNX,CONSOL Energy Inc,"1,385","1,187","2,572",23,112,60,52,
WRLD,World Acceptance Corp,"1,611",958,"2,569",23,112,70,42,
GPOR,Gulfport Energy Corp,"1,274","1,289","2,563",23,111,55,56,
SEDG,SolarEdge Technologies Inc,"1,165","1,395","2,560",23,111,51,61,
RDFN,Redfin Corp,"2,248",305,"2,553",14,182,161,22,
STT,State Street Corp,"1,664",881,"2,545",23,111,72,38,
NTP,Nam Tai Property Inc,"1,886",638,"2,524",23,110,82,28,
NAV,Navistar International Corp,"1,325","1,195","2,520",23,110,58,52,
KLIC,Kulicke & Soffa Industries Inc,528,"1,992","2,520",23,110,23,87,
WRK,WestRock Co,"1,883",632,"2,515",23,109,82,27,
SAGE,Sage Therapeutics Inc,"2,062",449,"2,511",23,109,90,20,
ITW,Illinois Tool Works Inc,958,"1,546","2,504",23,109,42,67,
SID,Cia Siderurgica Nacional SA,"2,046",453,"2,499",23,109,89,20,
DGX,Quest Diagnostics Inc,"2,305",191,"2,496",23,109,100,8,
CSOD,Cornerstone OnDemand Inc,"1,491","1,002","2,493",23,108,65,44,
AES,AES Corp/VA,973,"1,517","2,490",23,108,42,66,
GMLP,Golar LNG Partners LP,568,"1,900","2,468",23,107,25,83,
SBGL,Sibanye Gold Ltd,"1,945",522,"2,467",23,107,85,23,
IMAX,IMAX Corp,"1,425","1,028","2,453",23,107,62,45,
BCS,Barclays PLC,"1,881",570,"2,451",23,107,82,25,
CA,CA Inc,"1,726",723,"2,449",23,106,75,31,
PLNT,Planet Fitness Inc,"1,734",708,"2,442",23,106,75,31,
NUVA,NuVasive Inc,"1,624",816,"2,440",23,106,71,35,
CHGG,Chegg Inc,"1,400","1,036","2,436",23,106,61,45,
ORAN,Orange SA,104,"2,331","2,435",23,106,5,101,
SSW,Seaspan Corp,"1,797",634,"2,431",23,106,78,28,
NQ,NQ Mobile Inc,"2,046",371,"2,417",23,105,89,16,
TEO,Telecom Argentina SA,"1,211","1,205","2,416",23,105,53,52,
ICPT,Intercept Pharmaceuticals Inc,"1,433",973,"2,406",23,105,62,42,
NXST,Nexstar Media Group Inc,"1,367","1,031","2,398",23,104,59,45,
VRA,Vera Bradley Inc,"1,318","1,080","2,398",23,104,57,47,
BREW,Craft Brew Alliance Inc,"1,577",805,"2,382",23,104,69,35,
RCII,Rent-A-Center Inc/TX,"1,505",866,"2,371",23,103,65,38,
BBG,Bill Barrett Corp,41,"2,329","2,370",23,103,2,101,
PWR,Quanta Services Inc,"1,775",589,"2,364",23,103,77,26,
ZBH,Zimmer Biomet Holdings Inc,"1,640",724,"2,364",23,103,71,31,
CSTM,Constellium NV,"1,504",859,"2,363",23,103,65,37,
PDLI,PDL BioPharma Inc,"1,995",364,"2,359",23,103,87,16,
SBLK,Star Bulk Carriers Corp,"1,808",543,"2,351",23,102,79,24,
DNKN,Dunkin' Brands Group Inc,"1,618",732,"2,350",23,102,70,32,
NVAX,Novavax Inc,"1,916",423,"2,339",23,102,83,18,
ANDX,Andeavor Logistics LP,"2,214",117,"2,331",23,101,96,5,
RGS,Regis Corp,303,"2,027","2,330",23,101,13,88,
ACRX,AcelRx Pharmaceuticals Inc,"1,938",387,"2,325",23,101,84,17,
TAHO,Tahoe Resources Inc,"1,179","1,134","2,313",23,101,51,49,
CPE,Callon Petroleum Co,633,"1,674","2,307",23,100,28,73,
MKC,McCormick & Co Inc/MD,"1,163","1,140","2,303",23,100,51,50,
